date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:57	64047/64047	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:47:56%20GMT	https://booktemplate.webflow.io/home	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/home.html	(from )
17:17:57	20/20	---M-Z	200	added ('OK')	text/plain	date:Tue,%2031%20Oct%202023%2011:47:57%20GMT	https://booktemplate.webflow.io/robots.txt		(from )
17:17:59	50847/50847	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:47:58%20GMT	https://booktemplate.webflow.io/about	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/about.html	(from https://booktemplate.webflow.io/home)
17:17:59	48214/48214	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:47:59%20GMT	https://booktemplate.webflow.io/store	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/store.html	(from https://booktemplate.webflow.io/home)
17:18:01	54069/54069	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:00%20GMT	https://booktemplate.webflow.io/blog	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog.html	(from https://booktemplate.webflow.io/home)
17:18:02	45558/45558	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:01%20GMT	https://booktemplate.webflow.io/product/hack-productivity-book-normal-cover-print	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/product/hack-productivity-book-normal-cover-print.html	(from https://booktemplate.webflow.io/home)
17:18:03	52199/52199	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:02%20GMT	https://booktemplate.webflow.io/blog/4-great-productivity-and-time-management-tools-for-2021	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog/4-great-productivity-and-time-management-tools-for-2021.html	(from https://booktemplate.webflow.io/home)
17:18:04	42439/42439	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:03%20GMT	https://booktemplate.webflow.io/contact	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/contact.html	(from https://booktemplate.webflow.io/home)
17:18:05	47352/47352	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:04%20GMT	https://booktemplate.webflow.io/utility-pages/start-here	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/utility-pages/start-here.html	(from https://booktemplate.webflow.io/home)
17:18:05	57248/57248	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:05%20GMT	https://booktemplate.webflow.io/utility-pages/style-guide	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/utility-pages/style-guide.html	(from https://booktemplate.webflow.io/home)
17:18:06	19283/19283	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:06%20GMT	https://booktemplate.webflow.io/404	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/404.html	(from https://booktemplate.webflow.io/home)
17:18:07	20534/20534	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:07%20GMT	https://booktemplate.webflow.io/401	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/401.html	(from https://booktemplate.webflow.io/home)
17:18:08	41328/41328	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:08%20GMT	https://booktemplate.webflow.io/utility-pages/licenses	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/utility-pages/licenses.html	(from https://booktemplate.webflow.io/home)
17:18:09	34688/34688	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:09%20GMT	https://booktemplate.webflow.io/utility-pages/changelog	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/utility-pages/changelog.html	(from https://booktemplate.webflow.io/home)
17:18:10	91905/91905	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:10%20GMT	https://booktemplate.webflow.io/checkout	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/checkout.html	(from https://booktemplate.webflow.io/home)
17:18:11	44015/44015	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:11%20GMT	https://booktemplate.webflow.io/blog-category/resources	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog-category/resources.html	(from https://booktemplate.webflow.io/home)
17:18:12	52191/52191	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:12%20GMT	https://booktemplate.webflow.io/blog/10-must-read-articles-for-personal-productivity	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog/10-must-read-articles-for-personal-productivity.html	(from https://booktemplate.webflow.io/home)
17:18:13	52200/52200	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:13%20GMT	https://booktemplate.webflow.io/blog/best-desk-setup-for-productivity-while-working-from-home	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog/best-desk-setup-for-productivity-while-working-from-home.html	(from https://booktemplate.webflow.io/home)
17:18:14	39775/39775	---M-Z	200	added ('OK')	text/html	date:Tue,%2031%20Oct%202023%2011:48:14%20GMT	https://booktemplate.webflow.io/blog-category/articles	/Users/shashankmishra/websites/desim_template/booktemplate.webflow.io/blog-category/articles.html	(from https://booktemplate.webflow.io/home)
